Water Level,Moisture Percentage,Light Intensity,Temperature,Humidity,Cluster
614,52.1,62,26,75,1
534,35.5,283,26,68,1
774,34.21,821,25,74,0
773,34.21,818,25,74,0
701,29.62,998,27,89,2
606,52.79,67,26,77,1
653,49.56,64,26,77,1
470,35.34,131,25,73,1
781,33.24,819,24,75,0
693,32.06,977,26,80,2
699,32.45,977,26,78,2
700,29.62,998,27,88,2
656,49.07,98,26,75,1
723,39.3,821,25,72,0
660,43.49,381,29,71,1
694,30.11,999,27,87,2
774,33.82,821,24,76,0
746,29.13,977,26,77,2
710,30.89,977,26,79,2
369,38.14,126,24,82,1
715,28.35,999,27,88,2
712,44.57,813,23,63,0
637,34.41,998,27,89,2
751,35,819,25,75,0
704,30.6,998,26,81,2
703,45.65,101,25,75,1
776,32.94,817,25,75,0
389,40.48,344,25,70,1
644,50.05,85,26,76,1
638,50.73,74,26,75,1
645,34.21,1000,27,86,2
746,37.24,819,25,73,0
712,44.48,819,23,64,0
732,37.73,823,25,73,0
554,40.61,461,27,70,1
760,33.92,817,25,75,0
771,33.43,816,25,75,0
759,34.9,816,25,75,0
625,51.71,62,26,75,1
720,44.57,104,25,73,1
770,33.63,820,25,74,0
695,37.83,295,24,71,0
771,33.43,822,25,75,0
713,44.87,51,26,76,1
464,40.1,127,24,82,1
721,30.4,977,26,78,2
678,47.41,104,26,75,1
696,39.49,978,25,67,0
784,33.14,816,24,76,0
625,51.61,63,26,75,1
694,29.91,998,27,88,2
697,39.39,978,25,67,0
747,35.87,818,25,74,0
662,33.53,1000,27,82,2
729,43.21,820,23,63,0
633,31.46,370,26,80,2
692,30.11,998,27,89,2
772,33.72,820,25,74,0
727,30.01,977,26,77,2
613,52.3,61,26,75,1
683,46.92,104,26,75,1
646,34.12,999,27,86,2
724,30.11,977,26,78,2
702,45.75,105,25,75,1
718,43.79,978,23,64,0
758,36.66,824,25,72,0
389,40.48,344,25,70,1
776,31.28,824,25,78,0
649,40.04,105,24,74,1
603,52.98,66,26,77,1
720,43.79,815,23,64,0
640,49.95,67,26,75,1
696,44.77,978,24,63,0
728,41.94,369,25,74,0
786,38.51,817,24,67,0
780,31.09,815,25,78,0
726,40.66,553,25,74,0
633,51.03,68,26,74,1
739,38.32,818,25,72,0
696,37.54,978,26,70,0
777,33.53,820,25,74,0
758,35.09,821,25,74,0
748,36.66,822,25,73,0
695,39.39,978,25,66,0
618,40.22,441,25,67,1
779,32.94,815,25,75,0
775,38.22,817,24,68,0
452,36.86,234,27,68,1
727,43.6,174,25,73,1
695,38.51,977,25,68,0
772,38.22,821,24,68,0
677,47.8,55,26,75,1
374,37.32,233,25,87,1
654,43.9,408,25,66,1
566,37.9,381,28,83,1
711,34.41,978,26,70,0
695,37.54,978,26,69,0
730,37.73,817,25,73,0
686,32.45,977,26,81,2
722,28.74,1000,27,82,2
759,34.8,820,25,76,0
704,39.88,978,25,65,0
649,49.85,65,26,76,1
772,33.53,816,25,75,0
673,31.77,999,27,87,2
434,42.34,332,28,68,1
782,37.73,819,24,68,0
699,43.99,978,24,63,0
724,44.18,129,25,73,1
724,43.4,820,23,64,0
643,50.24,68,26,75,1
728,34.51,978,26,69,0
722,32.55,978,26,73,0
784,39.2,819,23,65,0
774,34.41,815,25,74,0
782,33.04,815,25,75,0
622,38.81,776,27,90,2
527,39.39,108,27,89,1
690,30.4,998,27,87,2
604,36.4,190,24,84,1
644,38.22,706,27,90,2
700,39.98,978,25,66,0
717,33.04,978,26,73,0
749,29.33,977,26,75,0
764,36.17,824,25,72,0
749,36.56,822,25,74,0
681,31.48,1000,27,85,2
582,39.41,283,25,75,1
755,37.34,823,25,71,0
777,30.69,818,25,79,0
587,42.17,166,26,71,1
694,30.11,998,27,87,2
733,37.73,817,25,73,0
494,38.75,251,27,86,1
625,35.1,274,26,66,1
780,38.91,819,24,68,0
717,28.74,956,27,90,2
713,44.48,53,26,77,1
646,33.82,1000,27,84,2
670,32.94,1000,27,82,2
